Q_m3_s,velocity_m_s,dp_total_Pa,vibration_amplitude
0.0005,0.25464790894703254,2133.3367842052708,3.517844613035504e-05
0.0007,0.3565070725258455,3907.0346951202064,6.444020138665726e-05
0.0009,0.45836623610465854,6167.501090660808,0.00010173849497618773
0.0011,0.5602253996834716,8905.45991114693,0.00014692082941718647
0.0013,0.6620845632622845,12114.983617104832,0.00019988975656098383
0.0015,0.7639437268410976,15792.025187603977,0.0002605787437933216
0.0017000000000000001,0.8658028904199107,19933.691405041278,0.0003289402269097995
0.0019,0.9676620539987236,24537.841674414085,0.00040493901474535093
0.0021000000000000003,1.0695212175775368,29602.849132550356,0.000488548361834179
0.0023,1.1713803811563497,35127.450176575425,0.0005797474946729887
0.0025,1.2732395447351625,41110.645460650194,0.0006785199841173885
0.0027,1.3750987083139756,47551.63243527041,0.0007848526363348021
0.0029000000000000002,1.4769578718927887,54449.75803432309,0.0008987347149844677
0.0031000000000000003,1.5788170354716018,61804.484677819164,0.0010201573823058056
0.0033,1.6806761990504147,69615.36533077658,0.0011491132890889817
0.0035,1.7825353626292277,77882.02487391364,0.001285596268410993
0.0037,1.8843945262080408,86604.1459676747,0.0014296011032416817
0.0039000000000000003,1.986253689786854,95781.45817496034,0.0015811233476225202
0.0041,2.0881128533656668,105413.72948629475,0.0017401591873412215
0.0043,2.1899720169444796,115500.75964229007,0.0019067053301537302
0.0045000000000000005,2.291831180523293,126042.3748185071,0.002080758918403868
0.004700000000000001,2.3936903441021062,137038.4233554136,0.0022623174588242835
0.0049,2.4955495076809187,148488.77229876793,0.0024513787656607086
0.0051,2.597408671259732,160393.30457470415,0.002647940914230643
0.005300000000000001,2.6992678348385453,172751.91666643525,0.002852002202728592
0.0055,2.8011269984173577,185564.5166907386,0.0030635611206036796
0.0057,2.902986161996171,198831.02279554188,0.0032826163222161265
0.005900000000000001,3.0048453255749843,212551.36181728065,0.0035091666047643425
0.0060999999999999995,3.1067044891537967,226725.4681498318,0.003743210889690307
0.0063,3.20856365273261,241353.28278684933,0.003984748206935668
